url,price,title
https://www.olx.com.pk/item/wd-passport-2tb-ext-drive-usb-3-0-brand-new-boxed-1-year-warranty-IDWTUkm.html,"Rs 8,975",Wd Passport 2TB EXt. Drive USB 3.0 Brand New Boxed 1 Year warranty
https://www.olx.com.pk/item/hp-folio-9470-ultra-book-core-i-5-3rd-gen-slimiest-laptop-fresh-IDV3Rqa.html,"Rs 23,500",HP FOLIO 9470 Ultra Book Core i 5 3rd Gen Slimiest Laptop Fresh
https://www.olx.com.pk/item/i-hp-15-4th-generation-2-16ghz-4gb-ram-15-6-crystal-led-3-0-usb-IDV2f2E.html,"Rs 22,500",I Hp 15 4th Generation 2.16ghz 4GB ram 15.6 Crystal led 3.0 usb
https://www.olx.com.pk/item/dell-latitude-e7240-256gb-ssd-notebook-4th-gen-laptop-uk-import-IDV2xUb.html,"Rs 24,000",Dell latitude e7240 256gb ssd notebook 4th gen laptop UK import
https://www.olx.com.pk/item/amazing-internet-offer-by-zong-4g-450gb-data-for-6months-free-device-IDV3TdU.html,"Rs 9,999",Amazing Internet offer by Zong 4G 450gb data for 6Months Free device
https://www.olx.com.pk/item/laptop-hp-mobile-thin-client-mt42-14-a8-pro-8600b-4-gb-ram-500-IDWWhA4.html,"Rs 26,000","Laptop Hp Mobile Thin Client Mt42 - 14"" - A8 Pro-8600b - 4 Gb Ram 500"
https://www.olx.com.pk/item/dell-e7240-e7250-i-5-4th-5th-gen-ultra-book-128-256-ssd-m-sata-drive-IDV3RMi.html,"Rs 24,999",Dell E7240 E7250 i 5 4th & 5th Gen Ultra Book 128/256 SSD m sata Drive
https://www.olx.com.pk/item/lenovo-core-i-5-finger-touch-laptop-free-home-office-delivery-IDWIwHb.html,"Rs 8,999",Lenovo Core i 5 Finger Touch Laptop Free Home & Office Delivery
https://www.olx.com.pk/item/zong-4g-wifi-bolt-cloude-IDV0fUA.html,"Rs 1,900",ZOng 4G wifi Bolt+ Cloude
https://www.olx.com.pk/item/apple-macbook-pro-17-inches-on-urgent-basis-IDV3ByT.html,"Rs 85,000",Apple Macbook Pro 17 Inches on Urgent Basis
https://www.olx.com.pk/item/laptops-used-low-price-branded-imported-90-days-warranty-IDV3Ld8.html,"Rs 12,000",Laptops | Used | Low Price | Branded | Imported | 90 Days Warranty
